content_length,httpResponseStatus,start_time,depth_level,ImgCount,destIP,tagType,LinkCount,index,EmbededCount,url,ScriptCount,end_time,ASN_Number,newcookies,CNAMEChain
16071,200,10:58:35.962442,1,,-,A,,3669,,http://xhamster.com/about.php,,10:58:36.916428,-,uuid=66DE4A5B-7413-48D8-B9EE-C2628766D577;stats=68;stats_id=848952;mdg:uid=961%3Aa5%3A1;first_visit=1436345915,-
14988,200,10:58:36.974247,1,,-,A,,3669,,http://xhamster.com/billing.php,,10:58:37.957357,-,uuid=3ED43102-30FC-4F74-A339-5410C15D36ED;stats=28;stats_id=295706;mdg:uid=447%3Aa3%3A1,-
41396,200,10:58:37.987635,1,,-,A,,3669,,http://xhamster.com/user/xHamster/blog/1.html,,10:58:38.988549,-,uuid=2AB73D78-98FA-456D-859D-A1E39E724417;stats=20;stats_id=865200;mdg:uid=521%3Aa3%3A1,-
23837,200,10:58:39.119053,1,,-,A,,3669,,http://xhamster.com/dmca.php,,10:58:40.255001,-,uuid=D34C2C81-70A5-479D-BDFC-34A8198DA98E;stats=90;stats_id=223268;mdg:uid=167%3Aa1%3A1;first_visit=1436345917,-
26449,200,10:58:40.346530,1,,-,A,,3669,,http://xhamster.com/privacy.php,,10:58:41.619689,-,uuid=639002F9-D094-4AEC-99CF-6D6804BF7977;stats=23;stats_id=510649;mdg:uid=294%3Aa2%3A1;first_visit=1436345919,-
89767,200,10:58:41.664442,1,,-,A,,3669,,http://xhamster.com/terms.php,,10:58:43.232617,-,uuid=1906A21D-1EC3-4992-868C-882B11D5D827;stats=87;stats_id=930030;mdg:uid=519%3Aa3%3A1;first_visit=1436345920,-
106566,200,10:58:43.476545,1,,-,A,,3669,,http://xhamster.com/stories-rankings/weekly-top-rated.html,,10:58:45.177495,-,uuid=15D6731B-D583-4DF4-9449-8BE4A18CA316;stats=40;stats_id=261077;mdg:uid=649%3Aa4%3A1;first_visit=1436345923,-
47282,200,10:58:45.278594,1,,-,A,,3669,,http://xhamster.com/photos/rankings/weekly-rated.html,,10:58:46.810362,-,uuid=5DB16350-BF09-4761-9377-D45D2EC175F7;stats=64;stats_id=174254;mdg:uid=373%3Aa2%3A1,-
20741,200,10:58:46.987700,1,,-,A,,3669,,http://xhamster.com/webcam_models_wanted.php,,10:58:48.452402,-,uuid=399589D7-0032-47A7-A5E2-641172816788;stats=37;stats_id=188014;mdg:uid=224%3A%3A1;session_id=00783d34fa37a2beda3b426251775e3179a5d959,-
51396,200,10:58:48.539179,1,,-,A,,3669,,http://xhamster.com/channels/new-hd_videos-1.html,,10:58:50.272673,-,uuid=3321C313-ADE3-49A8-B18C-2DB086ED5648;stats_id=221605;prid=--;prs=--;mdg:uid=988%3Aa5%3A1;first_visit=1436345925;v_uuid=1029518258;v_session_id=1;v_session_last_time=1436345925;v_global_event_id=1;v_event=1
